date,header,name,odds_order,odds_name,odds,odds_enabled
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-02T04:17:30.081396,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-02T12:18:04.337105,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-02T20:16:56.332532,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-03T04:18:03.997662,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-03T12:18:31.636073,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-03T20:17:22.968745,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-04T04:35:47.873780,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
